,sessionID,labels,positive,neutral,negative,dims,time_shape,path
28,Ses01F_impro02_F002,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F002.pt
29,Ses01F_impro02_F003,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F003.pt
30,Ses01F_impro02_F004,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F004.pt
31,Ses01F_impro02_F005,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F005.pt
32,Ses01F_impro02_F006,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F006.pt
33,Ses01F_impro02_F008,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F008.pt
34,Ses01F_impro02_F010,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F010.pt
35,Ses01F_impro02_F012,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F012.pt
36,Ses01F_impro02_F013,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F013.pt
37,Ses01F_impro02_F014,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F014.pt
38,Ses01F_impro02_F015,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F015.pt
39,Ses01F_impro02_F016,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F016.pt
40,Ses01F_impro02_F017,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F017.pt
41,Ses01F_impro02_F018,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F018.pt
42,Ses01F_impro02_F019,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F019.pt
43,Ses01F_impro02_F020,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F020.pt
44,Ses01F_impro02_M001,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M001.pt
45,Ses01F_impro02_M003,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M003.pt
46,Ses01F_impro02_M005,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M005.pt
47,Ses01F_impro02_M008,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M008.pt
48,Ses01F_impro02_M009,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M009.pt
49,Ses01F_impro02_M010,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M010.pt
50,Ses01F_impro02_M011,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M011.pt
51,Ses01F_impro02_M012,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M012.pt
52,Ses01F_impro02_M013,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M013.pt
53,Ses01F_impro02_M014,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M014.pt
54,Ses01F_impro02_M015,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M015.pt
55,Ses01F_impro02_M016,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_M016.pt
56,Ses01F_impro03_F000,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F000.pt
57,Ses01F_impro03_F001,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F001.pt
58,Ses01F_impro03_F002,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F002.pt
59,Ses01F_impro03_F004,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F004.pt
60,Ses01F_impro03_F005,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F005.pt
61,Ses01F_impro03_F006,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F006.pt
62,Ses01F_impro03_F008,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F008.pt
63,Ses01F_impro03_F009,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F009.pt
64,Ses01F_impro03_F010,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F010.pt
65,Ses01F_impro03_F012,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F012.pt
66,Ses01F_impro03_F013,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F013.pt
67,Ses01F_impro03_F015,exc,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F015.pt
68,Ses01F_impro03_F016,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F016.pt
69,Ses01F_impro03_F017,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F017.pt
70,Ses01F_impro03_F018,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F018.pt
71,Ses01F_impro03_F019,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F019.pt
72,Ses01F_impro03_F021,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F021.pt
73,Ses01F_impro03_F022,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F022.pt
74,Ses01F_impro03_F023,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F023.pt
75,Ses01F_impro03_F024,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F024.pt
76,Ses01F_impro03_F025,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F025.pt
77,Ses01F_impro03_F026,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_F026.pt
78,Ses01F_impro03_M000,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M000.pt
79,Ses01F_impro03_M001,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M001.pt
80,Ses01F_impro03_M002,sur,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M002.pt
81,Ses01F_impro03_M003,exc,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M003.pt
82,Ses01F_impro03_M006,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M006.pt
83,Ses01F_impro03_M007,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M007.pt
84,Ses01F_impro03_M008,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M008.pt
85,Ses01F_impro03_M009,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M009.pt
86,Ses01F_impro03_M011,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M011.pt
87,Ses01F_impro03_M013,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M013.pt
88,Ses01F_impro03_M014,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M014.pt
89,Ses01F_impro03_M015,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M015.pt
90,Ses01F_impro03_M016,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M016.pt
91,Ses01F_impro03_M017,sur,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M017.pt
92,Ses01F_impro03_M018,sur,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M018.pt
93,Ses01F_impro03_M019,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M019.pt
94,Ses01F_impro03_M020,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M020.pt
95,Ses01F_impro03_M021,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M021.pt
96,Ses01F_impro03_M022,exc,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M022.pt
97,Ses01F_impro03_M023,hap,1,0,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M023.pt
98,Ses01F_impro03_M024,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro03\Ses01F_impro03_M024.pt
99,Ses01F_impro04_F000,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F000.pt
100,Ses01F_impro04_F001,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F001.pt
101,Ses01F_impro04_F002,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F002.pt
102,Ses01F_impro04_F005,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F005.pt
103,Ses01F_impro04_F006,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F006.pt
104,Ses01F_impro04_F007,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F007.pt
105,Ses01F_impro04_F009,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F009.pt
106,Ses01F_impro04_F013,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F013.pt
107,Ses01F_impro04_F014,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F014.pt
108,Ses01F_impro04_F016,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F016.pt
109,Ses01F_impro04_F017,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F017.pt
110,Ses01F_impro04_F018,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F018.pt
111,Ses01F_impro04_F019,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F019.pt
112,Ses01F_impro04_F021,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F021.pt
113,Ses01F_impro04_F022,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F022.pt
114,Ses01F_impro04_F023,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F023.pt
115,Ses01F_impro04_F024,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F024.pt
116,Ses01F_impro04_F025,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F025.pt
117,Ses01F_impro04_F026,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F026.pt
118,Ses01F_impro04_F027,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F027.pt
119,Ses01F_impro04_F028,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F028.pt
120,Ses01F_impro04_F029,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F029.pt
121,Ses01F_impro04_F030,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F030.pt
122,Ses01F_impro04_F031,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F031.pt
123,Ses01F_impro04_F032,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F032.pt
124,Ses01F_impro04_F033,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_F033.pt
125,Ses01F_impro04_M000,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_M000.pt
126,Ses01F_impro04_M001,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro04\Ses01F_impro04_M001.pt
